PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Papastefanou, G; Legakis, A; Shogolev, I				Papastefanou, Gabriella; Legakis, Anastasios; Shogolev, Igor			The Avian Collection of the Zoological Museum of the University of Athens (ZMUA)	BIODIVERSITY DATA JOURNAL			English	Article; Data Paper						Aves; zoological collection; occurrence data; LifeWatchGreece		Background The Zoological Museum of the University of Athens (ZMUA) was established in 1858. It is the oldest natural history museum of Greece. The museum began its operation with the acquisition of a core collection and has been expanding ever since. One of the most substantial parts of the museum's collection consists of the avian exhibits, originating from around the world. New information Today, the avian collection consists of 2,948 specimens, preserved mostly through taxidermy, along with a significant number of eggs. The birds have been collected from around the world. A substantial part of the collection consists of individuals originating from Greece, Brazil, Canada and Australia. Having this valuable source of biogeographic information and a potential reserve of historical genetic diversity, ZMUA presents here the contents of the avian collection.	[Papastefanou, Gabriella] Hellen Ctr Marine Res, Iraklion, Crete, Greece; [Legakis, Anastasios; Shogolev, Igor] Univ Athens, Zool Museum, Athens, Greece	Hellenic Centre for Marine Research; National & Kapodistrian University of Athens	Legakis, A (corresponding author), Univ Athens, Zool Museum, Athens, Greece.	alegakis@biol.uoa.gr			LifeWatchGreece infrastructure - Greek Government under the General Secretariat of Research and Technology (GSRT), ESFRI Projects, National Strategic Reference Framework (NSRF) [MIS 384676]	LifeWatchGreece infrastructure - Greek Government under the General Secretariat of Research and Technology (GSRT), ESFRI Projects, National Strategic Reference Framework (NSRF)	This work was supported by the LifeWatchGreece infrastructure (MIS 384676), funded by the Greek Government under the General Secretariat of Research and Technology (GSRT), ESFRI Projects, National Strategic Reference Framework (NSRF).		4	0	0	1	5	PENSOFT PUBLISHERS	SOFIA	12 PROF GEORGI ZLATARSKI ST, SOFIA, 1700, BULGARIA	1314-2836	1314-2828		BIODIVERS DATA J	Biodiver. Data J.		2016	4								e10598	10.3897/BDJ.4.e10598	http://dx.doi.org/10.3897/BDJ.4.e10598			10	Biodiversity Conservation	Science Citation Index Expanded (SCI-EXPANDED)	Biodiversity & Conservation	VH0GB	27932927	Green Submitted, gold			2026-06-12	WOS:000449618200021
J	Steinheimer, FD				Steinheimer, FD			The type specimens of Paradisaeidae, Cnemophilidae and Ptilonorhynchidae (Aves) in the Museum fur Naturkunde of the Humboldt-University of Berlin	ZOOTAXA			English	Article						types; Paradisaeidae; Cnemophilidae; Ptilonorhynchidae; Museum fur Naturkunde Berlin		A comprehensive list of all type specimens of the manucodes and birds of paradise (Paradisaeidae), satin birds (Cnemophilidae) and bower birds ( Ptilonorhynchidae) housed in the Museum fur Naturkunde der Humboldt-University of Berlin (ZMB) is given, including those specimens considered to be paralectotypes and paratypes. Each entry discusses the history of the specimen, its nomenclature and taxonomy. The introduction gives a brief overview on ZMB registration numbers and a short history of research into avian types at the ZMB.	Nat Hist Museum, Dept Zool, Bird Grp, D-90425 Nurnberg, Germany		Steinheimer, FD (corresponding author), Nat Hist Museum, Dept Zool, Bird Grp, Tring C-O Sylter Str 18, D-90425 Nurnberg, Germany.	franksteinheimer@yahoo.co.uk							64	7	8	0	3	MAGNOLIA PRESS	AUCKLAND	250F Marua Road Mt Wellington, AUCKLAND, ST LUKES 1023, NEW ZEALAND	1175-5326	1175-5334		ZOOTAXA	Zootaxa	OCT 28	2005		1072					1	25						25	Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Zoology	979SE					2026-06-12	WOS:000232964300001
J	Doucet, SM; Hill, GE				Doucet, Stephanie M.; Hill, Geoffrey E.			Do museum specimens accurately represent wild birds? A case study of carotenoid, melanin, and structural colours in long-tailed manakins Chiroxiphia linearis	JOURNAL OF AVIAN BIOLOGY			English	Article							FINCHES CARPODACUS-MEXICANUS; PLUMAGE COLOR; SEXUAL DICHROMATISM; SEASONAL-CHANGES; LEK PLACEMENT; AMBIENT LIGHT; ULTRAVIOLET; SELECTION; SIGNALS; AVES	Museum specimens continue to be an invaluable resource for taxonomic, systematic, and comparative studies, and are increasingly relied upon for novel research purposes. Evaluating variation in the colour of avian study skins forms the basis for a broad range of research questions, yet few studies have investigated whether the plumage colouration of museum specimens accurately reflects colouration in wild birds. In this study, we use reflectance spectrometry to compare the plumage reflectance of avian museum skins and wild birds. We use long-tailed manakins Chiroxiphia linearis, to investigate these potential differences in colour. Long-tailed manakins are ideal for this type of study as their colourful plumage patches result from three primary plumage colouration mechanisms found in birds: melanin pigmentation, carotenoid pigmentation, and structural colouration. These features of their plumage allowed us to independently assess variation in each plumage colouration mechanism. Reflectance spectra obtained from museum specimens were very similar to those obtained from wild birds, and the colouration of specimens was usually well within the range of variation observed in wild birds. As such, museum specimens can accurately represent the colouration of wild birds. Nevertheless, we found significant differences in colouration between museum skins and wild birds. We documented differences in brightness, hue, saturation, and chroma, although the direction and magnitude of these differences varied by mechanism of colouration. Multivariate analyses revealed that the age of museum specimens and the time of year at which they were collected contributed to some of these differences. We discuss potential proximate causes of these changes in colour, many of which apply to both museum specimens and wild birds, and identify the types of studies that are likely to be most sensitive to these changes.	[Doucet, Stephanie M.] Univ Windsor, Dept Biol Sci, Windsor, ON N9B 3P4, Canada; [Hill, Geoffrey E.] Auburn Univ, Dept Biol Sci, Auburn, AL 36849 USA	University of Windsor; Auburn University System; Auburn University	Doucet, SM (corresponding author), Univ Windsor, Dept Biol Sci, 401 Sunset Ave,Biol Bldg, Windsor, ON N9B 3P4, Canada.	sdoucet@uwindsor.ca	Hill, Geoffrey/R-7354-2019	Hill, Geoffrey/0000-0001-8864-6495	Natural Science and Engineering Research Council of Canada; American Ornithologists' Union; Wilson Ornithological Society; Explorer's Club; Collections Study Grant; American Museum of Natural History; Auburn University Graduate Research Grants; NSF [420647]	Natural Science and Engineering Research Council of Canada(Natural Sciences and Engineering Research Council of Canada (NSERC)); American Ornithologists' Union; Wilson Ornithological Society; Explorer's Club; Collections Study Grant; American Museum of Natural History; Auburn University Graduate Research Grants; NSF(National Science Foundation (NSF))	We thank L. Baril, V. Connolly, A. Lindo, J. Marko, and D. Mennill for assistance in the field as well as D. Mennill for assistance with museum data collection. We are grateful to R. Blanco Seguro and the Area de Conservacion Guanacaste for logistical support and permission to work in Parque Nacional Santa Rosa. We thank the curators at the American Museum of Natural History and the Louisiana State University Museum of Natural Science for providing access to the research collections under their care. J. V. Remsen and P. Sweet provided helpful information on specimen preparation and storage and D. Mennill provided helpful comments on this manuscript. R. Montgomerie kindly allowed us to use his spectral analysis programs. This study was funded by Natural Science and Engineering Research Council of Canada grants and scholarships, a Sigma-Xi Grant-in-aid-of-research, a Wetmore Research Award from American Ornithologists' Union, the Louis Agassiz Fuertes Award from the Wilson Ornithological Society, the Exploration Fund of the Explorer's Club, a Collections Study Grant and a Frank M. Chapman Memorial Fund Award from the American Museum of Natural History, and Auburn University Graduate Research Grants (to SMD), as well as NSF grant 420647 (to GEH).		80	75	93	1	39	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0908-8857	1600-048X		J AVIAN BIOL	J. Avian Biol.	MAR	2009	40	2					146	156		10.1111/j.1600-048X.2009.03763.x	http://dx.doi.org/10.1111/j.1600-048X.2009.03763.x			11	Ornithology	Science Citation Index Expanded (SCI-EXPANDED)	Zoology	424EY		Bronze			2026-06-12	WOS:000264549500007
J	Ohlson, JI; Irestedt, M; Fjeldså, J; Ericson, PGP				Ohlson, Jan I.; Irestedt, Martin; Fjeldsa, Jon; Ericson, Per G. P.			Nuclear DNA from a 180-year-old study skin reveals the phylogenetic position of the Kinglet Calyptura Calyptura cristata (Passeriformes: Tyrannides)	IBIS			English	Article						Platyrinchidae; Cotingidae; suboscines; nuclear DNA; museum specimen	TYRANT-FLYCATCHERS; MIXED MODELS; ALLIES AVES; INFERENCE; COTINGAS; MANAKINS; MRBAYES; BIRDS	The Kinglet Calyptura Calyptura cristata is one of the most enigmatic bird species in South America, known only from specimens collected in the 19th century and a few recent observations. Knowledge of its biology is scanty and its systematic position is obscure. Traditionally, Calyptura was placed in the Cotingidae, but associated with genera that are now known to fall outside the Cotingidae. In an attempt to clarify its phylogenetic position, sequence data from four nuclear markers were obtained from a 180-year-old museum study skin of Calyptura, and incorporated into a comprehensive dataset of tyrant flycatchers, cotingas, manakins and allies. Our analyses demonstrate that Calyptura is most closely related to Platyrinchus and Neopipo and that these three genera constitute a deep branch in the clade containing the Rhynchocyclidae (todytyrants and flatbills) and Tyrannidae (typical tyrant flycatchers). The Calyptura specimen is one of the oldest avian museum specimens from which a substantial amount of nuclear DNA sequence data have been obtained, and highlights the immense value of museum collections for DNA-based phylogenetic studies.	[Ohlson, Jan I.; Irestedt, Martin] Swedish Museum Nat Hist, Mol Systemat Lab, SE-10405 Stockholm, Sweden; [Fjeldsa, Jon] Univ Copenhagen, Zool Museum, DK-2100 Copenhagen, Denmark	Swedish Museum of Natural History; University of Copenhagen	Ohlson, JI (corresponding author), Swedish Museum Nat Hist, Mol Systemat Lab, Box 50007, SE-10405 Stockholm, Sweden.	jan.ohlson@nrm.se	Fjeldså, Jon/A-9699-2013; Irestedt, Martin/AAF-2525-2019		Swedish Research Council [621-2007-5280]; Danish National Research Foundation	Swedish Research Council(Swedish Research Council); Danish National Research Foundation(Danmarks Grundforskningsfond)	We thank the following museums for access to study skins and tissue samples for this study: Swedish Museum of Natural History (Ulf Johansson, Goran Frisk), Zoological Museum, University of Copenhagen (Jan Bolding Kristensen) and the US National Museum of Natural History, Smithsonian Institution (James Dean). Jose G. Tello, Jerome Fuchs, Rauri Bowie and two anonymous reviewers are thanked for valuable comments on an earlier draft of this article. This study is part of a research project supported by grants from the Swedish Research Council (grant no. 621-2007-5280) to P. E. J.F. acknowledges the Danish National Research Foundation for support to the Center for Macroecology, Evolution and Climate.		24	5	7	0	8	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0019-1019			IBIS	Ibis	JUL	2012	154	3					533	541		10.1111/j.1474-919X.2012.01243.x	http://dx.doi.org/10.1111/j.1474-919X.2012.01243.x			9	Ornithology	Science Citation Index Expanded (SCI-EXPANDED)	Zoology	032SC					2026-06-12	WOS:000310738400011
J	Grealy, A; Bunce, M; Holleley, CE				Grealy, Alicia; Bunce, Michael; Holleley, Clare E.			Avian mitochondrial genomes retrieved from museum eggshell	MOLECULAR ECOLOGY RESOURCES			English	Article						ancient DNA; aves; avian; barcoding; bird; eggshell; fossil; museum; next-generation sequencing; shotgun sequencing	DNA; EGG; HISTORY; SEARCH	Avian eggshell is a bio-ceramic material with exceptional properties for preserving DNA within its crystalline structure, presenting an opportunity to retrieve genomic information from extinct or historical populations of birds. However, intracrystalline DNA has only been recovered from the large, thick eggshell of palaeognaths; members of their more-diverse sister group (neognaths) lay smaller, thinner eggs that may not exhibit the same propensity for DNA preservation. Here, we use three 40-60-year-old museum eggshell specimens of Australian neognath birds to determine the minimum mass of eggshell from which intracrystalline DNA can be retrieved, and to characterize the yield and quality of such DNA. In doing so, we describe the first protocol for successful extraction of intracrystalline DNA from neognath eggshells, with the view to unlocking the potential of vast museum egg collections for genetic research. We were able to retrieve DNA fragments over 200 bp in length from 10 mg of eggshell powder from all three specimens, and demonstrate that expanding the existing blow-hole can allow sufficient material to be collected for DNA extraction while minimizing damage to the appearance and structural integrity of the egg. Furthermore, we were able to reconstruct near-complete mitochondrial genomes at a coverage of 40-83X through shotgun sequencing of these extracts on three NextSeq lanes. Given the current extinction and extirpation rates of many avian species world-wide, genetic data from eggshell could provide a rapid and cost-effective approach to examining temporal changes in avian diversity, which is not only becoming crucial for conservation management, but also serve to deepen our understanding of genome-wide evolutionary processes.	[Grealy, Alicia; Bunce, Michael] Curtin Univ, Trace & Environm DNA TrEnD Lab, Dept Environm & Agr, Bentley, WA, Australia; [Grealy, Alicia; Holleley, Clare E.] CSIRO, Australian Natl Wildlife Collect, Natl Res Collect Australia, Canberra, ACT, Australia	Curtin University; Commonwealth Scientific & Industrial Research Organisation (CSIRO)	Grealy, A (corresponding author), Curtin Univ, Dept Environm & Agr, Trace & Environm DNA Lab, Perth, WA, Australia.	alicia.grealy@uqconnect.edu.au	Holleley, Clare/C-4629-2011	Holleley, Clare/0000-0002-5257-0019	Australian Research Council [DP160104473, DP180100021]; CSIRO Strategic Investment Funds (NCRA)	Australian Research Council(Australian Research Council); CSIRO Strategic Investment Funds (NCRA)(Commonwealth Scientific & Industrial Research Organisation (CSIRO))	Australian Research Council, Grant/Award Number: DP160104473 and DP180100021; CSIRO Strategic Investment Funds (NCRA)		41	14	18	0	16	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1755-098X	1755-0998		MOL ECOL RESOUR	Mol. Ecol. Resour.	JUL	2019	19	4					1052	1062		10.1111/1755-0998.13007	http://dx.doi.org/10.1111/1755-0998.13007			11	Biochemistry & Molecular Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology	ID6ZG	30773819	Bronze			2026-06-12	WOS:000471830200019
J	Bates, JM; Cadena, CD; Tello, JG; Brumfield, RT				Bates, John M.; Cadena, Carlos Daniel; Tello, Jose G.; Brumfield, Robb T.			Diversification in the neotropics: Phylogenetic patterns and historical processes	ORNITOLOGIA NEOTROPICAL			English	Article; Proceedings Paper	8th Neotropical Ornithological Congress	MAY 13-19, 2007	Maturin, VENEZUELA			DNA; phylogenetics; birds; diversification; Neotropics	MOLECULAR PHYLOGENETICS; GENUS; EVOLUTIONARY; AVES; BIOGEOGRAPHY; CONSERVATION; SYSTEMATICS; DIVERGENCE; FINCHES; REGION	We summarize two symposia that brought together a broad spectrum of talks on how molecular data are expanding our understanding of the patterns, processes and timing of avian diversification in the Neotropics. Presenters are associated with natural history museums, which ensure that genetic data are associated with vouchered specimens. Molecular systematics is a rapidly evolving field which promises to bring new understandings of the evolutionary process in the years to come.	[Bates, John M.] Field Museum Nat Hist, Dept Zool, Chicago, IL 60605 USA; [Cadena, Carlos Daniel] Univ Los Andes, Dept Ciencias Biol, Bogota, Colombia; [Tello, Jose G.] Amer Museum Nat Hist, Div Vertebrate Zool, New York, NY 10024 USA; [Brumfield, Robb T.] Louisiana State Univ, Museum Nat Sci, Baton Rouge, LA 70803 USA	Field Museum of Natural History (Chicago); Universidad de los Andes (Colombia); American Museum of Natural History (AMNH); Louisiana State University System; Louisiana State University	Bates, JM (corresponding author), Field Museum Nat Hist, Dept Zool, 1400 S Lake Shore Dr, Chicago, IL 60605 USA.	jbates@fieldmuseum.org	Brumfield, Robb/K-6108-2015; Cadena, Carlos/G-1313-2010; Tello, Jose/C-5125-2011	Brumfield, Robb/0000-0003-2307-0688; Tello, Jose/0000-0003-1508-7615					32	14	14	0	11	NEOTROPICAL ORNITHOLOGICAL SOC, USGS PATUXENT WILDLIFE RESEARCH CTR	ATHENS	UNIV GEORGIA, WARNELL SCH FOREST RESOURCES, ATHENS, GA 30602-2152 USA	1075-4377			ORNITOL NEOTROP	ORNITOL. NEOTROP.		2008	19			S			427	432						6	Ornithology	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Zoology	305DN					2026-06-12	WOS:000256158100038
J	Lamanna, MC; You, HL; Harris, JD; Chiappe, LM; Ji, SA; Lü, JC; Ji, Q				Lamanna, Matthew C.; You, Hai-Lu; Harris, Jerald D.; Chiappe, Luis M.; Ji, Shu-An; Lu, Jun-Chang; Ji, Qiang			A partial skeleton of an enantiornithine bird from the Early Cretaceous of northwestern China	ACTA PALAEONTOLOGICA POLONICA			English	Article						Aves; Enantiornithes; Cretaceous; Xinminpu Group; Xiagou Formation; China	EARLY EVOLUTION; GANSU PROVINCE; NEOCERATOPSIAN DINOSAUR; JIUFOTANG FORMATION; MAZONGSHAN AREA; SOUTH-AMERICA; MESOZOIC BIRD; AVIAN FLIGHT; FOSSIL; DIVERSIFICATION	Although recent discoveries from Lower Cretaceous sediments in northeastern China have greatly improved our understanding of the initial stages of avian diversification in eastern Asia, the early evolution of Aves elsewhere on the continent remains poorly understood. In 2004, a collaborative field effort directed by personnel from the Chinese Academy of Geological Sciences and Carnegie Museum of Natural History recovered multiple partial to nearly complete avian skeletons from outcrops of the Lower Cretaceous Xiagou Formation exposed in the Changma Basin of northwestern Gansu Province, China. Here we describe a thrush-sized partial skeleton comprised of a fragmentary pelvic girdle and largely complete hind limbs. A phylogenetic analysis of 20 avian ingroup taxa and 169 anatomical characters places the specimen in Enantiornithes, and within that clade, in Euenantiornithes. When coupled with additional recent discoveries from the Changma Basin, the new skeleton improves our understanding of early avian evolution and diversification in central Asia.	Carnegie Mellon Univ, Sect Vertebrate Paleontol, Nat Hist Museum, Pittsburgh, PA 15213 USA; Chinese Acad Geol Sci, Inst Geol, Beijing 100037, Peoples R China; Dixie State Coll, St George, UT 84770 USA; Nat Hist Museum Los Angeles Cty, Dinosaur Inst, Los Angeles, CA 90007 USA	Carnegie Mellon University; China Geological Survey; Institute of Geology, Chinese Academy of Geological Sciences; Chinese Academy of Geological Sciences; Utah System of Higher Education; Utah Tech University	Lamanna, MC (corresponding author), Carnegie Mellon Univ, Sect Vertebrate Paleontol, Nat Hist Museum, 4400 Forbes Ave, Pittsburgh, PA 15213 USA.	lamannam@carnegiemnh.org; youhailu@sinofossa.org; jharris@dixie.edu; lchiappe@nhm.org; jishu_an@sina.com; tmcp168@yahoo.com; jirod@cags.net.cn		You, Hai-Lu/0000-0003-2203-6461; Chiappe, Luis/0000-0001-9661-0601					80	30	35	0	9	INST PALEOBIOLOGII PAN	WARSAW	UL TWARDA 51/55, 00-818 WARSAW, POLAND	0567-7920	1732-2421		ACTA PALAEONTOL POL	Acta Palaeontol. Pol.	SEP	2006	51	3					423	434						12	Paleontology	Science Citation Index Expanded (SCI-EXPANDED)	Paleontology	090DY					2026-06-12	WOS:000240932000003
J	Kahn, EX; Jacobsen, JM; Leyel, A; Rosati, MC; Montgomery, GA; Tingley, MW				Kahn, Ethan X.; Jacobsen, Jake M.; Leyel, Amanda; Rosati, Mia C.; Montgomery, Graham A.; Tingley, Morgan W.			The response of avian chewing lice (Psocodea: Phthiraptera) loads to early-1900s urbanization in the Western United States	URBAN ECOSYSTEMS			English	Article						Phthiraptera; Nits; Ectoparasitism; <italic>Haemorhous mexicanus</italic>; <italic>Dryobates villosus</italic>; Museum specimens	PICIDAE AVES; MENACANTHUS MALLOPHAGA; POPULATION-DYNAMICS; URBAN-ENVIRONMENT; BIRD COMMUNITIES; ISCHNOCERA; ECOLOGY; MENOPONIDAE; PREVALENCE; HUMIDITY	Urbanization can alter all types of ecological interactions, including parasitism. For urban-associated hosts, two hypotheses predict the response of parasites to urbanization: dense host populations can increase disease transmission, and/or healthy host populations can increase immunity against disease. Using a historical record of bird specimens, we examined the effect of historical urban environments on parasitic interactions by measuring the abundance of ectoparasites on two bird species: House Finch and Hairy Woodpecker. We counted adult chewing lice and their nits from museum study skins of these two species, which were collected in the western United States from 1900 to 1932. Our urbanness metric for each specimen's collection site and year was extracted from the Built-Up Footprint Area dataset, which measures the area covered by human structures each decade. Despite finding many lice preserved on museum specimens, we found no significant relationship between urbanness and louse loads. This result could be because lice are not sensitive to their external environment, or because the impacts of urbanization on birds were still small in the temporal range documented by our specimens. We also found that House Finches had more nits but fewer adult Ischnocera than Hairy Woodpeckers, and that Ischnocera and nit loads exhibited slight seasonal variation. Our study emphasizes the value of museum collections for understanding the historical process of urbanization in an ecological context, including bird-louse dynamics, and provides an important initial evaluation of how chewing lice may or may not respond to urbanization.	[Kahn, Ethan X.; Jacobsen, Jake M.; Leyel, Amanda; Rosati, Mia C.; Montgomery, Graham A.; Tingley, Morgan W.] Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, 612 Charles E Young Dr East,Hershey Hall Room 120, Los Angeles, CA 90095 USA	University of California System; University of California Los Angeles	Tingley, MW (corresponding author), Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, 612 Charles E Young Dr East,Hershey Hall Room 120, Los Angeles, CA 90095 USA.	mtingley@ucla.edu	Montgomery, Graham/X-6293-2019; Tingley, Morgan/F-8519-2011	Kahn, Ethan/0009-0006-5410-2821; Rosati, Mia/0000-0002-0906-9341					113	0	0	2	7	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1083-8155	1573-1642		URBAN ECOSYST	Urban Ecosyst.	APR 21	2025	28	3							113	10.1007/s11252-025-01724-4	http://dx.doi.org/10.1007/s11252-025-01724-4			14	Biodiversity Conservation; Ecology; Environmental Sciences; Urban Studies	Science Citation Index Expanded (SCI-EXPANDED)	Biodiversity & Conservation; Environmental Sciences & Ecology; Urban Studies	1PT1I		Green Submitted, hybrid			2026-06-12	WOS:001470738500001
J	Weeks, BC; Zhou, ZZ; Probst, CM; Berv, JS; O'Brien, B; Benz, BW; Skeen, HR; Ziebell, M; Bodt, L; Fouhey, DF				Weeks, Brian C.; Zhou, Zhizhuo; Probst, Charlotte M.; Berv, Jacob S.; O'Brien, Bruce; Benz, Brett W.; Skeen, Heather R.; Ziebell, Mark; Bodt, Louise; Fouhey, David F.			Skeletal trait measurements for thousands of bird species	SCIENTIFIC DATA			English	Article							EVOLUTION; DIVERSITY	Large comparative datasets of avian functional traits have been used to address a wide range of questions in ecology and evolution. To date, this work has been constrained by the limited availability of skeletal trait datasets that include extensive inter- and intra-specific sampling. We use computer vision to identify and measure bones from photographs of museum skeletal specimens to assemble an extensive dataset of functionally important skeletal elements in birds. The dataset spans 2,057 species of birds (Aves: Passeriformes) and includes measurements of 12 skeletal elements from 14,419 individuals. In addition to the trait values directly measured from photographs, we leverage the multi-dimensional nature of our dataset and known phylogenetic relationships of the species to impute missing data under an evolutionary model. To facilitate use of the dataset, the taxonomy has been reconciled with an existing comprehensive avian phylogeny and an additional dataset of external functional traits for all birds.	[Weeks, Brian C.; Probst, Charlotte M.; Berv, Jacob S.; O'Brien, Bruce; Ziebell, Mark] Univ Michigan, Sch Environm & Sustainabil, Ann Arbor, MI 48109 USA; [Zhou, Zhizhuo] Carnegie Mellon Univ, Sch Comp Sci, Pittsburgh, PA USA; [Berv, Jacob S.] Univ Michigan, Michigan Inst Data Sci, Ann Arbor, MI USA; [Benz, Brett W.] Univ Michigan, Dept Ecol & Evolutionary Biol, Ann Arbor, MI USA; [Benz, Brett W.] Univ Michigan, Museum Zool, Ann Arbor, MI USA; [Skeen, Heather R.] Princeton Univ, Dept Ecol & Evolutionary Biol, Princeton, NJ USA; [Skeen, Heather R.; Bodt, Louise] Negaunee Integrat Res Ctr, Field Museum Nat Hist, Chicago, IL USA; [Bodt, Louise] Univ Chicago, Comm Evolutionary Biol, Chicago, IL USA; [Fouhey, David F.] NYU, Courant Inst Math Sci, Comp Sci, New York, NY USA; [Fouhey, David F.] NYU, Elect & Comp Engn, Tandon Sch Engn, New York, NY USA	University of Michigan System; University of Michigan; Carnegie Mellon University; University of Michigan System; University of Michigan; University of Michigan System; University of Michigan; University of Michigan System; University of Michigan; Princeton University; Field Museum of Natural History (Chicago); University of Chicago; New York University; New York University; New York University Tandon School of Engineering	Weeks, BC (corresponding author), Univ Michigan, Sch Environm & Sustainabil, Ann Arbor, MI 48109 USA.	bcweeks@umich.edu	Berv, Jacob/H-5421-2019		David and Lucile Packard Foundation (David & Lucile Packard Foundation); Benjamin Marks, Division of Birds, Field Museum of Natural History; David and Lucile Packard Foundation; Eric and Wendy Schmidt AI in Science Postdoctoral Fellowship; Schmidt Futures	David and Lucile Packard Foundation (David & Lucile Packard Foundation); Benjamin Marks, Division of Birds, Field Museum of Natural History; David and Lucile Packard Foundation(The David & Lucile Packard Foundation); Eric and Wendy Schmidt AI in Science Postdoctoral Fellowship; Schmidt Futures	We thank Benjamin Winger, Bird Division, University of Michigan Museum of Zoology for granting us access to the UMMZ specimens. We thank John Bates, Shannon Hackett, and Benjamin Marks, Division of Birds, Field Museum of Natural History, for granting us access to the FMNH specimens. This work was supported by the David and Lucile Packard Foundation. JSB was supported by an Eric and Wendy Schmidt AI in Science Postdoctoral Fellowship, Schmidt Futures.		44	4	4	2	4	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2052-4463		SCI DATA	Sci. Data	MAY 28	2025	12	1							884	10.1038/s41597-025-05234-y	http://dx.doi.org/10.1038/s41597-025-05234-y			7	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	3ES6W	40436915	Green Submitted, gold			2026-06-12	WOS:001498580100018
J	Eren, G; Dik, B				Eren, Gokhan; Dik, Bilal			Contributions to the feather mite fauna (Acariformes: Astigmata) of birds (Aves) in Türkiye	ACAROLOGIA			English	Article						acarofauna; bird parasites; host-parasite associations; parasitic mites	ACARI ASTIGMATA; PASSERINES PASSERIFORMES; SUBFAMILY INGRASSIINAE; HOST ASSOCIATIONS; GENUS; ANALGOIDEA; PROCTOPHYLLODIDAE; TROUESSARTIIDAE; PTEROLICHOIDEA; PSOROPTIDIA	Feather mite specimens (in tubes with 70% ethanol or mounted on permanent slides) stored as museum material in the laboratory of the Department of Parasitology, Faculty of Veterinary Medicine, Sel & ccedil;uk University (Konya, T & uuml;rkiye) have been examined. These specimens were collected from avian hosts (39 bird species from 11 orders) in seven different provinces of T & uuml;rkiye in 2009-2021. As a result of the study, 50 species-level and four genus-level taxa of feather mite representing 12 mite families were identified. Among recovered feather mites, 30 species are new records for the feather mite fauna of T & uuml;rkiye.	[Eren, Gokhan] Gen Directorate Agr Res & Policies, Prod & Training Inst, Dept Aquat Anim Hlth, Mediterranean Fisheries Res, Antalya, Turkiye; [Dik, Bilal] Karakoclar St 18-12, Konya, Turkiye	Ministry of Agriculture & Forestry - Turkey	Eren, G (corresponding author), Gen Directorate Agr Res & Policies, Prod & Training Inst, Dept Aquat Anim Hlth, Mediterranean Fisheries Res, Antalya, Turkiye.	gokhaneren54@gmail.com	Dik, Bilal/J-8576-2019; EREN, Gökhan/HHZ-5991-2022				mites, as well as for his support in providing with acarological literature we needed during the preparation of the article. In addition to this, we thank Dr. Fabio Akashi Hernandes (Departamento de Ecologia e Zoologia, CCB/ECZ, Trindade, Universidade Federal de Santa Catarina, Florianopolis, Santa Catarina, Brazil) and Dr. Jacek Dabert (Department of Animal Morphology, Faculty of Biology, Adam Mickiewicz University, Pozna & nacute;, Poland) for their positive responses to our literature requests.		169	0	1	0	0	ACAROLOGIA-UNIVERSITE PAUL VALERY	MONTPELLIER	SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, 34090 MONTPELLIER, FRANCE	0044-586X	2107-7207		ACAROLOGIA	Acarologia		2025	65	4					1302	1330		10.24349/oxyf-grt1	http://dx.doi.org/10.24349/oxyf-grt1			29	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	CY2GH		Green Submitted, gold			2026-06-12	WOS:001677252900001
